Name,MOA
Enalaprilat (dihydrate),angiotensin converting enzyme inhibitor
Sertraline (hydrochloride),selective serotonin reuptake inhibitor (SSRI)
Clindamycin (hydrochloride),protein synthesis inhibitor
Ketotifen (fumarate),"histamine receptor agonist, leukotriene receptor antagonist, phosphodiesterase inhibitor"
Vecuronium (bromide),acetylcholine receptor antagonist
Azilsartan,angiotensin receptor antagonist
Pantoprazole (sodium),ATPase inhibitor
Terazosin (hydrochloride dihydrate),adrenergic receptor antagonist
Tirofiban (hydrochloride monohydrate),"platelet aggregation inhibitor, structural glycoprotein antagonist"
Sitagliptin,dipeptidyl peptidase inhibitor
Amodiaquine (dihydrochloride dihydrate),histamine receptor agonist
Rabeprazole (sodium),"ATPase inhibitor, gastrin inhibitor"
Guanfacine (hydrochloride),adrenergic receptor agonist
Clopidogrel,purinergic receptor antagonist
Aminophylline,adenosine receptor antagonist
Verapamil (hydrochloride),calcium channel blocker
Chlorpheniramine (maleate),
Ibuprofen piconol,cyclooxygenase inhibitor
Piperacillin (sodium),bacterial cell wall synthesis inhibitor
Pancuronium (dibromide),acetylcholine receptor antagonist
Cyproheptadine (hydrochloride),"histamine receptor antagonist
"
Levamisole (hydrochloride),acetylcholine receptor agonist
Dobutamine (hydrochloride),adrenergic receptor agonist
Umeclidinium (bromide),acetylcholine receptor antagonist
Levocarnitine propionate (hydrochloride),carnitine palmitoyltransferase inhibitor
Ranitidine (hydrochloride),histamine receptor antagonist
Tafenoquine (Succinate),
Betamethasone dipropionate,
Atazanavir (sulfate),HIV protease inhibitor
(R)-(-)-Ibuprofen,cyclooxygenase inhibitor
Cefditoren (Pivoxil),bacterial cell wall synthesis inhibitor
Montelukast (sodium),leukotriene receptor antagonist
Clonidine (hydrochloride),adrenergic receptor agonist
(S)-Timolol (Maleate),adrenergic receptor antagonist
Diclofenac,cyclooxygenase inhibitor
Amoxicillin (sodium),penicillin binding protein inhibitor
Liothyronine (sodium),thyroid hormone stimulant
