drug,cluster-label
(+)-camphor,0
palonosetron (hydrochloride),0
pyrimethamine,0
propantheline bromide,0
praziquantel,0
phentolamine hydrochloride,0
papaverine hydrochloride,0
ondansetron,0
nizatidine,0
nifurtimox,0
natamycin,0
naratriptan (hydrochloride),0
naloxegol (oxalate),0
neostigmine bromide,0
mebendazole,0
miconazole nitrate,0
methenamine,0
metaxalone,0
zileuton,0
mesalamine,0
meclizine hydrochloride,0
mecamylamine hydrochloride,0
mannitol,0
lubiprostone,0
levetiracetam,0
isosorbide dinitrate,0
prucalopride (succinate),0
pyrantel (tartrate),0
rimantadine hydrochloride,0
rizatriptan benzoate,0
voxelotor,0
varenicline,0
valacyclovir (hydrochloride),0
valacyclovir hydrochloride,0
urea,0
tiagabine (hydrochloride),0
terbinafine hydrochloride,0
tamsulosin,0
trimethobenzamide hydrochloride,0
triclabendazole,0
tolbutamide,0
tolazamide,0
indinavir (sulfate),0
tiopronin,0
solifenacin (succinate),0
sodium picosulfate,0
silodosin,0
sertaconazole (nitrate),0
saxagliptin,0
rufinamide,0
ropinirole (hydrochloride),0
rimegepant,0
riluzole,0
rilpivirine,0
revefenacin,0
repaglinide,0
tetrahydrozoline hydrochloride,0
hydroxyzine pamoate,0
metaproterenol,0
zolmitriptan,0
donepezil hydrochloride,0
benzonatate,0
dimenhydrinate,0
clidinium bromide,0
benoxinate hydrochloride,0
cycloserine (d),0
almotriptan,0
cromolyn (sodium),0
acrivastine,0
allopurinol riboside,0
alogliptin (benzoate),0
amifampridine,0
amisulpride,0
cimetidine,0
cefuroxime (sodium),0
cysteamine hydrochloride,0
cefaclor,0
doxylamine succinate,0
hexylresorcinol,0
allopurinol,0
ethambutol hydrochloride,0
glyburide,0
bosutinib,0
butenafine (hydrochloride),0
glipizide,0
gemfibrozil,0
fexinidazole,0
fexofenadine hydrochloride,0
fampridine,0
famciclovir,0
ethambutol (dihydrochloride),0
esmolol (hydrochloride),0
epinastine,0
capsaicin,0
eletriptan (hydrobromide),0
buspirone hydrochloride,0
acyclovir,0
alendronate sodium,0
alfuzosin hydrochloride,0
aztreonam,0
dicyclomine hydrochloride,1
orphenadrine citrate,2
bethanechol chloride,3
tolterodine (tartrate),4
selexipag,4
treprostinil,4
venetoclax,4
voriconazole,4
acetazolamide,4
xylometazoline hydrochloride,4
anagrelide (hydrochloride),4
bromocriptine (mesylate),4
guaifenesin,4
sumatriptan,4
isosorbide mononitrate,4
lemborexant,4
methocarbamol,4
ethionamide,4
methazolamide,4
naphazoline hydrochloride,4
deflazacort,4
darifenacin (hydrobromide),4
nitrofurantoin,4
orlistat,4
dextromethorphan hydrobromide,4
pilocarpine nitrate,4
clemastine (fumarate),4
probenecid,4
cinacalcet,4
pyrazinamide,4
pitolisant (hydrochloride),4
ranolazine,4
cyclizine,4
chlorzoxazone,4
chlorpropamide,4
carteolol hydrochloride,4
sulfadiazine,4
safinamide,4
cabergoline,4
carglumic acid,5
paritaprevir,6
mepenzolate bromide,7
dapoxetine (hydrochloride),8
probucol,9
gluconolactone,10
uridine triacetate,11
nalidixic acid,12
nefopam,13
diazoxide,14
mianserin hydrochloride,15
elvitegravir,16
umbralisib,17
pergolide (mesylate),18
ethylenediamine tetracetate tetra-ethanolamine,19
capmatinib,20
cinnarizine,21
sulfamethizole,22
oxymetazoline hydrochloride,23
nitisinone,24
lumacaftor,25
etc-1002,26
guaiacol,27
fusidic acid,28
dasabuvir,29
istradefylline,30
osilodrostat,31
(s)-rasagiline,32
moxidectin,33
furazolidone,34
erlotinib (hydrochloride),35
cefuroxime axetil,36
delavirdine (mesylate),37
procyclidine hydrochloride,38
telotristat,39
dydrogesterone,40
uridine,41
eugenol,42
flunisolide,43
pretomanid,44
l-cycloserine,45
agomelatine,46
phenylephrine (hydrochloride),47
relugolix,48
telotristat etiprate,49
betahistine hydrochloride,50
parecoxib,51
phenylephrine hydrochloride,52
galanthamine,53
gefitinib (zd1839),54
mebeverine hydrochloride,55
etoricoxib,56
moxonidine,57
gliclazide,58
gramicidin (gramicidin a shown),59
stiripentol,60
bifonazole,61
enoxacin,62
clofibrate,63
tezacaftor,64
tedizolid,65
lofexidine  hydrochloride,66
tepotinib (emd 1214063),67
guanethidine,68
benzoic acid,69
belumosudil,70
antazoline,71
domperidone,72
tasimelteon,73
rucaparib (ag-014699 or pf-01367338) phosphate,74
allantoin,75
carbimazole,76
inosine,77
sulfacetamide,78
moclobemide,79
