drug,cluster-label
(+)-camphor,0
ondansetron,1
osilodrostat,1
phenylephrine hydrochloride,1
pyrimethamine,1
palonosetron (hydrochloride),1
phenylephrine (hydrochloride),1
ranolazine,1
rizatriptan benzoate,1
repaglinide,1
rilpivirine,1
rucaparib (ag-014699 or pf-01367338) phosphate,1
sumatriptan,1
selexipag,1
silodosin,1
solifenacin (succinate),1
stiripentol,1
tamsulosin,1
tedizolid,1
telotristat,1
tezacaftor,1
venetoclax,1
voxelotor,1
xylometazoline hydrochloride,1
naratriptan (hydrochloride),1
zileuton,1
zolmitriptan,1
cimetidine,1
buspirone hydrochloride,1
bosutinib,1
bromocriptine (mesylate),1
chlorpropamide,1
cabergoline,1
almotriptan,1
isosorbide mononitrate,1
cinacalcet,1
dextromethorphan hydrobromide,1
darifenacin (hydrobromide),1
deflazacort,1
delavirdine (mesylate),1
eletriptan (hydrobromide),1
erlotinib (hydrochloride),1
famciclovir,1
alfuzosin hydrochloride,1
fexinidazole,1
gemfibrozil,1
glyburide,1
alendronate sodium,1
isosorbide dinitrate,1
anagrelide (hydrochloride),1
acrivastine,1
lumacaftor,2
praziquantel,2
naloxegol (oxalate),2
voriconazole,3
indinavir (sulfate),3
(s)-rasagiline,4
safinamide,4
chlorzoxazone,5
pitolisant (hydrochloride),6
nalidixic acid,7
nefopam,8
valacyclovir (hydrochloride),9
mianserin hydrochloride,10
metaproterenol,11
nitrofurantoin,12
cinnarizine,13
capmatinib,14
methazolamide,15
sertaconazole (nitrate),16
trimethobenzamide hydrochloride,17
istradefylline,18
pyrazinamide,19
cefuroxime axetil,20
levetiracetam,21
pretomanid,22
l-cycloserine,23
allopurinol riboside,24
pilocarpine nitrate,25
relugolix,26
tolterodine (tartrate),27
donepezil hydrochloride,28
clidinium bromide,29
saxagliptin,30
mecamylamine hydrochloride,31
amifampridine,32
clemastine (fumarate),33
revefenacin,34
clofibrate,35
terbinafine hydrochloride,36
papaverine hydrochloride,37
lofexidine  hydrochloride,38
tepotinib (emd 1214063),39
benzoic acid,40
antazoline,41
cycloserine (d),42
metaxalone,43
tasimelteon,44
propantheline bromide,45
moclobemide,46
carglumic acid,47
mesalamine,48
bethanechol chloride,49
probucol,50
tolazamide,51
gluconolactone,52
diazoxide,53
pergolide (mesylate),54
pyrantel (tartrate),55
esmolol (hydrochloride),56
oxymetazoline hydrochloride,57
nitisinone,58
orlistat,59
mannitol,60
mebendazole,61
eugenol,62
flunisolide,63
cefuroxime (sodium),64
methocarbamol,65
agomelatine,66
varenicline,67
carteolol hydrochloride,68
tiagabine (hydrochloride),69
cyclizine,70
betahistine hydrochloride,71
parecoxib,72
valacyclovir hydrochloride,73
etoricoxib,74
meclizine hydrochloride,75
sulfadiazine,76
hydroxyzine pamoate,77
gliclazide,78
bifonazole,79
tiopronin,80
dicyclomine hydrochloride,81
allopurinol,82
cromolyn (sodium),83
ethionamide,84
benzonatate,85
aztreonam,86
guaifenesin,87
paritaprevir,88
mepenzolate bromide,89
dapoxetine (hydrochloride),90
ethambutol (dihydrochloride),91
tolbutamide,92
natamycin,93
elvitegravir,94
umbralisib,95
glipizide,96
alogliptin (benzoate),97
lubiprostone,98
acetazolamide,99
ethylenediamine tetracetate tetra-ethanolamine,100
sulfamethizole,101
etc-1002,102
acyclovir,103
guaiacol,104
capsaicin,105
nizatidine,106
ropinirole (hydrochloride),107
nifurtimox,108
benoxinate hydrochloride,109
tetrahydrozoline hydrochloride,110
urea,111
procyclidine hydrochloride,112
uridine,113
cefaclor,114
phentolamine hydrochloride,115
neostigmine bromide,116
mebeverine hydrochloride,117
naphazoline hydrochloride,118
epinastine,119
guanethidine,120
domperidone,121
rimantadine hydrochloride,122
orphenadrine citrate,123
allantoin,124
sulfacetamide,125
galanthamine,126
uridine triacetate,127
butenafine (hydrochloride),128
amisulpride,129
methenamine,130
dimenhydrinate,131
fusidic acid,132
dasabuvir,133
moxidectin,134
furazolidone,135
miconazole nitrate,136
riluzole,137
dydrogesterone,138
probenecid,139
fampridine,140
telotristat etiprate,141
prucalopride (succinate),142
gefitinib (zd1839),143
cysteamine hydrochloride,144
rimegepant,145
treprostinil,146
moxonidine,147
triclabendazole,148
gramicidin (gramicidin a shown),149
hexylresorcinol,150
enoxacin,151
lemborexant,152
rufinamide,153
ethambutol hydrochloride,154
sodium picosulfate,155
doxylamine succinate,156
belumosudil,157
fexofenadine hydrochloride,158
carbimazole,159
inosine,160
