drug,cluster-label
(+)-camphor,71
(s)-rasagiline,16
acetazolamide,17
acrivastine,10
acyclovir,8
agomelatine,12
alendronate sodium,10
alfuzosin hydrochloride,4
allantoin,74
allopurinol,8
allopurinol riboside,49
almotriptan,8
alogliptin (benzoate),8
amifampridine,57
amisulpride,8
anagrelide (hydrochloride),8
antazoline,10
aztreonam,76
belumosudil,8
benoxinate hydrochloride,8
benzoic acid,10
benzonatate,8
betahistine hydrochloride,10
bethanechol chloride,3
bifonazole,60
bosutinib,13
bromocriptine (mesylate),2
buspirone hydrochloride,8
butenafine (hydrochloride),8
cabergoline,2
capmatinib,35
capsaicin,8
carbimazole,8
carglumic acid,8
carteolol hydrochloride,8
cefaclor,53
cefuroxime (sodium),48
cefuroxime axetil,45
chlorpropamide,9
chlorzoxazone,8
cimetidine,8
cinacalcet,8
cinnarizine,34
clemastine (fumarate),10
clidinium bromide,3
clofibrate,8
cromolyn (sodium),65
cyclizine,52
cycloserine (d),8
cysteamine hydrochloride,8
dapoxetine (hydrochloride),8
darifenacin (hydrobromide),3
dasabuvir,41
deflazacort,8
delavirdine (mesylate),0
dextromethorphan hydrobromide,6
diazoxide,7
dicyclomine hydrochloride,64
dimenhydrinate,10
domperidone,8
donepezil hydrochloride,8
doxylamine succinate,10
dydrogesterone,8
eletriptan (hydrobromide),14
elvitegravir,29
enoxacin,8
epinastine,10
erlotinib (hydrochloride),8
esmolol (hydrochloride),8
etc-1002,38
ethambutol (dihydrochloride),22
ethambutol hydrochloride,8
ethionamide,68
ethylenediamine tetracetate tetra-ethanolamine,33
etoricoxib,7
eugenol,7
famciclovir,50
fampridine,54
fexinidazole,75
fexofenadine hydrochloride,10
flunisolide,8
furazolidone,44
fusidic acid,36
galanthamine,7
gefitinib (zd1839),8
gemfibrozil,7
gliclazide,58
glipizide,9
gluconolactone,7
glyburide,9
gramicidin (gramicidin a shown),59
guaiacol,7
guaifenesin,7
guanethidine,7
hexylresorcinol,7
hydroxyzine pamoate,10
indinavir (sulfate),0
inosine,7
isosorbide dinitrate,11
isosorbide mononitrate,11
istradefylline,7
l-cycloserine,47
lemborexant,7
levetiracetam,7
lofexidine  hydrochloride,67
lubiprostone,7
lumacaftor,7
mannitol,40
mebendazole,7
mebeverine hydrochloride,7
mecamylamine hydrochloride,18
meclizine hydrochloride,7
mepenzolate bromide,7
mesalamine,21
metaproterenol,7
metaxalone,70
methazolamide,17
methenamine,31
methocarbamol,7
mianserin hydrochloride,5
miconazole nitrate,7
moclobemide,16
moxidectin,43
moxonidine,19
nalidixic acid,26
naloxegol (oxalate),7
naphazoline hydrochloride,19
naratriptan (hydrochloride),14
natamycin,23
nefopam,27
neostigmine bromide,7
nifurtimox,7
nitisinone,37
nitrofurantoin,25
nizatidine,7
ondansetron,7
orlistat,7
orphenadrine citrate,73
osilodrostat,42
oxymetazoline hydrochloride,15
palonosetron (hydrochloride),7
papaverine hydrochloride,7
parecoxib,7
paritaprevir,20
pergolide (mesylate),2
phentolamine hydrochloride,19
phenylephrine (hydrochloride),5
phenylephrine hydrochloride,5
pilocarpine nitrate,3
pitolisant (hydrochloride),16
praziquantel,16
pretomanid,16
probenecid,16
probucol,16
procyclidine hydrochloride,46
propantheline bromide,3
prucalopride (succinate),16
pyrantel (tartrate),32
pyrazinamide,16
pyrimethamine,16
ranolazine,16
relugolix,51
repaglinide,9
revefenacin,62
rilpivirine,16
riluzole,4
rimantadine hydrochloride,72
rimegepant,16
rizatriptan benzoate,14
ropinirole (hydrochloride),2
rucaparib (ag-014699 or pf-01367338) phosphate,16
rufinamide,4
safinamide,16
saxagliptin,1
selexipag,1
sertaconazole (nitrate),39
silodosin,5
sodium picosulfate,69
solifenacin (succinate),3
stiripentol,1
sulfacetamide,30
sulfadiazine,7
sulfamethizole,0
sumatriptan,14
tamsulosin,5
tasimelteon,1
tedizolid,66
telotristat,1
telotristat etiprate,1
tepotinib (emd 1214063),1
terbinafine hydrochloride,1
tetrahydrozoline hydrochloride,1
tezacaftor,63
tiagabine (hydrochloride),1
tiopronin,61
tolazamide,9
tolbutamide,9
tolterodine (tartrate),3
treprostinil,1
triclabendazole,1
trimethobenzamide hydrochloride,1
umbralisib,1
urea,1
uridine,1
uridine triacetate,24
valacyclovir (hydrochloride),28
valacyclovir hydrochloride,56
varenicline,18
venetoclax,1
voriconazole,0
voxelotor,55
xylometazoline hydrochloride,19
zileuton,1
zolmitriptan,14
