,node-value,cluster-label,drug
0,0,0,(+)-camphor
30,30,1,ondansetron
31,31,1,osilodrostat
32,34,1,phenylephrine hydrochloride
34,36,1,pyrimethamine
35,32,1,palonosetron (hydrochloride)
36,33,1,phenylephrine (hydrochloride)
37,37,1,ranolazine
38,40,1,rizatriptan benzoate
39,38,1,repaglinide
40,39,1,rilpivirine
41,41,1,rucaparib (ag-014699 or pf-01367338) phosphate
42,47,1,sumatriptan
44,43,1,selexipag
45,44,1,silodosin
46,45,1,solifenacin (succinate)
47,46,1,stiripentol
48,48,1,tamsulosin
49,49,1,tedizolid
50,50,1,telotristat
51,51,1,tezacaftor
52,52,1,venetoclax
54,54,1,voxelotor
55,55,1,xylometazoline hydrochloride
29,29,1,naratriptan (hydrochloride)
56,56,1,zileuton
57,57,1,zolmitriptan
12,12,1,cimetidine
7,9,1,buspirone hydrochloride
8,7,1,bosutinib
9,8,1,bromocriptine (mesylate)
10,11,1,chlorpropamide
11,10,1,cabergoline
4,5,1,almotriptan
26,26,1,isosorbide mononitrate
13,13,1,cinacalcet
14,17,1,dextromethorphan hydrobromide
15,14,1,darifenacin (hydrobromide)
16,15,1,deflazacort
17,16,1,delavirdine (mesylate)
18,18,1,eletriptan (hydrobromide)
19,19,1,erlotinib (hydrochloride)
20,20,1,famciclovir
3,4,1,alfuzosin hydrochloride
21,21,1,fexinidazole
22,22,1,gemfibrozil
23,23,1,glyburide
2,3,1,alendronate sodium
25,25,1,isosorbide dinitrate
6,6,1,anagrelide (hydrochloride)
5,2,1,acrivastine
27,27,2,lumacaftor
33,35,2,praziquantel
28,28,2,naloxegol (oxalate)
53,53,3,voriconazole
24,24,3,indinavir (sulfate)
1,1,4,(s)-rasagiline
43,42,4,safinamide
