,node-value,cluster-label,drug
8,8,0,allantoin
121,121,0,moxidectin
141,141,0,parecoxib
152,152,0,probucol
84,84,0,gemfibrozil
79,79,0,flunisolide
45,45,0,clofibrate
77,77,0,fexinidazole
76,76,0,fampridine
74,74,0,eugenol
73,73,0,etoricoxib
126,126,1,naratriptan (hydrochloride)
167,167,1,rizatriptan benzoate
211,211,1,zolmitriptan
146,146,1,phenylephrine hydrochloride
145,145,1,phenylephrine (hydrochloride)
166,166,1,rimegepant
182,182,1,sumatriptan
63,63,1,eletriptan (hydrobromide)
11,11,1,almotriptan
58,58,2,dimenhydrinate
59,59,2,domperidone
199,199,2,trimethobenzamide hydrochloride
134,134,2,ondansetron
110,110,2,meclizine hydrochloride
139,139,2,palonosetron (hydrochloride)
12,12,3,alogliptin (benzoate)
172,172,3,saxagliptin
161,161,3,repaglinide
38,38,3,chlorpropamide
86,86,3,glipizide
88,88,3,glyburide
85,85,3,gliclazide
194,194,3,tolazamide
195,195,3,tolbutamide
46,46,4,cromolyn (sodium)
16,16,4,antazoline
61,61,4,doxylamine succinate
43,43,4,clemastine (fumarate)
66,66,4,epinastine
3,3,4,acrivastine
78,78,4,fexofenadine hydrochloride
109,109,5,mecamylamine hydrochloride
92,92,5,guanethidine
106,106,5,mannitol
173,173,5,selexipag
103,103,5,lofexidine  hydrochloride
122,122,5,moxonidine
137,137,5,osilodrostat
207,207,6,voriconazole
119,119,6,miconazole nitrate
174,174,6,sertaconazole (nitrate)
127,127,6,natamycin
20,20,6,benzoic acid
24,24,6,bifonazole
28,28,6,butenafine (hydrochloride)
189,189,6,terbinafine hydrochloride
153,153,7,procyclidine hydrochloride
1,1,7,(s)-rasagiline
171,171,7,safinamide
26,26,7,bromocriptine (mesylate)
29,29,7,cabergoline
143,143,7,pergolide (mesylate)
168,168,7,ropinirole (hydrochloride)
99,99,7,istradefylline
197,197,8,treprostinil
4,4,9,acyclovir
165,165,9,rimantadine hydrochloride
52,52,9,dasabuvir
142,142,9,paritaprevir
75,75,9,famciclovir
203,203,9,valacyclovir (hydrochloride)
204,204,9,valacyclovir hydrochloride
180,180,10,sulfadiazine
89,89,10,gramicidin 
116,116,10,methenamine
132,132,10,nitrofurantoin
35,35,10,cefaclor
36,36,10,cefuroxime (sodium)
17,17,10,aztreonam
81,81,10,fusidic acid
80,80,10,furazolidone
179,179,10,sulfacetamide
37,37,10,cefuroxime axetil
185,185,10,tedizolid
181,181,10,sulfamethizole
123,123,10,nalidixic acid
65,65,10,enoxacin
156,156,11,pyrantel (tartrate)
107,107,11,mebendazole
198,198,11,triclabendazole
93,93,11,hexylresorcinol
192,192,12,tiagabine (hydrochloride)
193,193,12,tiopronin
138,138,12,oxymetazoline hydrochloride
183,183,12,tamsulosin
135,135,12,orlistat
178,178,12,stiripentol
133,133,12,nizatidine
196,196,12,tolterodine (tartrate)
130,130,12,nifurtimox
177,177,12,solifenacin (succinate)
176,176,12,sodium picosulfate
129,129,12,neostigmine bromide
128,128,12,nefopam
136,136,12,orphenadrine citrate
131,131,12,nitisinone
