,node-value,cluster-label,drug
159,159,0,tamsulosin
60,60,0,esmolol (hydrochloride)
154,154,0,silodosin
6,6,0,alfuzosin hydrochloride
29,29,0,carteolol hydrochloride
124,124,0,phentolamine hydrochloride
101,101,1,moxidectin
102,102,1,moxonidine
104,104,1,naloxegol (oxalate)
103,103,1,nalidixic acid
92,92,2,meclizine hydrochloride
82,82,2,isosorbide mononitrate
81,81,2,isosorbide dinitrate
80,80,2,inosine
79,79,2,indinavir (sulfate)
76,76,2,gramicidin (gramicidin a shown)
83,83,2,istradefylline
73,73,2,gemfibrozil
72,72,2,gefitinib (zd1839)
71,71,2,galanthamine
69,69,2,furazolidone
59,59,2,erlotinib (hydrochloride)
77,77,2,guanethidine
84,84,2,lemborexant
52,52,2,donepezil hydrochloride
87,87,2,lubiprostone
89,89,2,mebendazole
95,95,2,methazolamide
96,96,2,methenamine
97,97,2,methocarbamol
109,109,2,neostigmine bromide
85,85,2,levetiracetam
127,127,3,pilocarpine nitrate
135,135,3,pyrantel (tartrate)
178,178,3,varenicline
20,20,3,bethanechol chloride
55,55,4,eletriptan (hydrobromide)
106,106,4,naratriptan (hydrochloride)
134,134,4,prucalopride (succinate)
146,146,4,rizatriptan benzoate
158,158,4,sumatriptan
184,184,4,zolmitriptan
9,9,4,almotriptan
24,24,4,buspirone hydrochloride
26,26,5,cabergoline
147,147,5,ropinirole (hydrochloride)
23,23,5,bromocriptine (mesylate)
123,123,5,pergolide (mesylate)
177,177,5,uridine
163,163,6,telotristat etiprate
167,167,6,tezacaftor
165,165,6,terbinafine hydrochloride
164,164,6,tepotinib (emd 1214063)
88,88,6,lumacaftor
162,162,6,telotristat
169,169,6,tiopronin
99,99,7,miconazole nitrate
15,15,7,aztreonam
41,41,7,cycloserine (d)
61,61,7,ethambutol (dihydrochloride)
62,62,7,ethambutol hydrochloride
30,30,7,cefaclor
31,31,7,cefuroxime (sodium)
32,32,7,cefuroxime axetil
2,2,8,acrivastine
35,35,8,cimetidine
128,128,8,pitolisant (hydrochloride)
19,19,8,betahistine hydrochloride
175,175,8,trimethobenzamide hydrochloride
113,113,8,nizatidine
67,67,8,fexofenadine hydrochloride
40,40,8,cyclizine
37,37,8,clemastine (fumarate)
50,50,8,dimenhydrinate
53,53,8,doxylamine succinate
58,58,8,epinastine
33,33,9,chlorpropamide
74,74,9,gliclazide
75,75,9,glyburide
171,171,9,tolbutamide
170,170,9,tolazamide
132,132,10,procyclidine hydrochloride
91,91,10,mecamylamine hydrochloride
90,90,10,mebeverine hydrochloride
133,133,10,propantheline bromide
172,172,10,tolterodine (tartrate)
38,38,10,clidinium bromide
116,116,10,orphenadrine citrate
44,44,10,darifenacin (hydrobromide)
155,155,10,solifenacin (succinate)
93,93,10,mepenzolate bromide
54,54,11,dydrogesterone
3,3,11,acyclovir
68,68,11,flunisolide
180,180,11,voriconazole
108,108,11,nefopam
57,57,11,enoxacin
117,117,11,osilodrostat
63,63,11,ethionamide
121,121,11,parecoxib
64,64,11,etoricoxib
65,65,11,eugenol
66,66,11,famciclovir
56,56,11,elvitegravir
150,150,12,safinamide
152,152,13,selexipag
168,168,13,tiagabine (hydrochloride)
160,160,13,tasimelteon
156,156,13,stiripentol
157,157,13,sulfacetamide
161,161,13,tedizolid
153,153,13,sertaconazole (nitrate)
22,22,14,bosutinib
166,166,15,tetrahydrozoline hydrochloride
126,126,15,phenylephrine hydrochloride
182,182,15,xylometazoline hydrochloride
118,118,15,oxymetazoline hydrochloride
105,105,15,naphazoline hydrochloride
94,94,15,metaproterenol
125,125,15,phenylephrine (hydrochloride)
86,86,15,lofexidine  hydrochloride
1,1,16,acetazolamide
5,5,16,alendronate sodium
4,4,16,agomelatine
42,42,16,cysteamine hydrochloride
0,0,16,(s)-rasagiline
16,16,16,belumosudil
17,17,16,benzoic acid
18,18,16,benzonatate
21,21,16,bifonazole
25,25,16,butenafine (hydrochloride)
27,27,16,capsaicin
28,28,16,carglumic acid
70,70,16,fusidic acid
34,34,16,chlorzoxazone
39,39,16,clofibrate
49,49,16,diazoxide
48,48,16,dextromethorphan hydrobromide
47,47,16,delavirdine (mesylate)
46,46,16,deflazacort
45,45,16,dasabuvir
43,43,16,dapoxetine (hydrochloride)
36,36,16,cinacalcet
12,12,17,amisulpride
78,78,17,hydroxyzine pamoate
51,51,17,domperidone
14,14,17,antazoline
11,11,17,amifampridine
13,13,17,anagrelide (hydrochloride)
149,149,18,rufinamide
120,120,18,papaverine hydrochloride
181,181,18,voxelotor
119,119,18,palonosetron (hydrochloride)
179,179,18,venetoclax
115,115,18,orlistat
129,129,18,pretomanid
176,176,18,urea
130,130,18,probenecid
174,174,18,triclabendazole
173,173,18,treprostinil
131,131,18,probucol
114,114,18,ondansetron
112,112,18,nitrofurantoin
136,136,18,pyrazinamide
148,148,18,rucaparib (ag-014699 or pf-01367338) phosphate
137,137,18,pyrimethamine
139,139,18,relugolix
110,110,18,nifurtimox
107,107,18,natamycin
111,111,18,nitisinone
145,145,18,rimegepant
144,144,18,rimantadine hydrochloride
138,138,18,ranolazine
98,98,18,mianserin hydrochloride
100,100,18,moclobemide
142,142,18,rilpivirine
183,183,18,zileuton
141,141,18,revefenacin
140,140,18,repaglinide
143,143,18,riluzole
122,122,18,paritaprevir
10,10,19,alogliptin (benzoate)
8,8,19,allopurinol riboside
7,7,19,allopurinol
151,151,19,saxagliptin
