,node-value,cluster-label,drug
30,30,0,cefuroxime (sodium)
40,40,0,cycloserine (d)
73,73,0,l-cycloserine
29,29,0,cefaclor
14,14,0,aztreonam
31,31,0,cefuroxime axetil
152,152,1,venetoclax
114,114,1,pyrimethamine
136,136,1,tedizolid
25,25,1,capmatinib
130,130,1,sulfacetamide
143,143,1,tiagabine (hydrochloride)
132,132,1,sulfamethizole
123,123,1,rufinamide
122,122,1,rucaparib (ag-014699 or pf-01367338) phosphate
131,131,1,sulfadiazine
125,125,1,saxagliptin
139,139,1,tepotinib (emd 1214063)
134,134,2,tamsulosin
154,154,2,xylometazoline hydrochloride
6,6,2,alfuzosin hydrochloride
100,100,2,oxymetazoline hydrochloride
128,128,2,silodosin
126,126,2,selexipag
147,147,2,treprostinil
141,141,2,tetrahydrozoline hydrochloride
48,48,3,dimenhydrinate
36,36,3,clemastine (fumarate)
35,35,3,cinnarizine
33,33,3,cimetidine
70,70,3,hydroxyzine pamoate
98,98,3,orphenadrine citrate
83,83,3,metaproterenol
95,95,3,nizatidine
17,17,3,betahistine hydrochloride
13,13,3,antazoline
120,120,4,rizatriptan benzoate
101,101,4,palonosetron (hydrochloride)
87,87,4,moclobemide
124,124,4,safinamide
41,41,4,dapoxetine (hydrochloride)
4,4,4,agomelatine
133,133,4,sumatriptan
96,96,4,ondansetron
22,22,4,buspirone hydrochloride
137,137,4,telotristat
113,113,4,prucalopride (succinate)
105,105,5,pergolide (mesylate)
62,62,5,flunisolide
91,91,5,naphazoline hydrochloride
76,76,5,lofexidine  hydrochloride
90,90,5,naloxegol (oxalate)
118,118,5,riluzole
61,61,5,fexofenadine hydrochloride
72,72,5,istradefylline
74,74,5,lemborexant
110,110,5,pitolisant (hydrochloride)
85,85,5,mianserin hydrochloride
115,115,5,relugolix
119,119,5,rimegepant
88,88,5,moxonidine
49,49,5,domperidone
57,57,5,esmolol (hydrochloride)
11,11,5,amisulpride
21,21,5,bromocriptine (mesylate)
24,24,5,cabergoline
121,121,5,ropinirole (hydrochloride)
26,26,5,capsaicin
135,135,5,tasimelteon
45,45,5,dextromethorphan hydrobromide
43,43,5,deflazacort
145,145,6,tolbutamide
144,144,6,tolazamide
142,142,6,tezacaftor
32,32,6,chlorpropamide
78,78,6,lumacaftor
116,116,6,repaglinide
46,46,6,diazoxide
68,68,6,glyburide
67,67,6,glipizide
66,66,6,gliclazide
148,148,7,umbralisib
42,42,8,darifenacin (hydrobromide)
151,151,8,varenicline
146,146,8,tolterodine (tartrate)
93,93,8,neostigmine bromide
63,63,8,galanthamine
50,50,8,donepezil hydrochloride
47,47,8,dicyclomine hydrochloride
18,18,8,bethanechol chloride
37,37,8,clidinium bromide
111,111,8,procyclidine hydrochloride
82,82,8,mepenzolate bromide
112,112,8,propantheline bromide
117,117,8,revefenacin
79,79,8,mebeverine hydrochloride
109,109,8,pilocarpine nitrate
80,80,8,mecamylamine hydrochloride
138,138,9,telotristat etiprate
0,0,9,(s)-rasagiline
156,156,9,zolmitriptan
9,9,9,almotriptan
92,92,9,naratriptan (hydrochloride)
53,53,9,eletriptan (hydrobromide)
19,19,10,bifonazole
153,153,10,voriconazole
127,127,10,sertaconazole (nitrate)
86,86,10,miconazole nitrate
23,23,10,butenafine (hydrochloride)
140,140,10,terbinafine hydrochloride
38,38,11,clofibrate
65,65,11,gemfibrozil
60,60,12,famciclovir
3,3,12,acyclovir
150,150,12,valacyclovir hydrochloride
89,89,12,nalidixic acid
149,149,12,valacyclovir (hydrochloride)
54,54,12,enoxacin
15,15,13,belumosudil
10,10,13,alogliptin (benzoate)
27,27,13,carbimazole
34,34,13,cinacalcet
1,1,13,acetazolamide
5,5,13,alendronate sodium
44,44,13,delavirdine (mesylate)
129,129,13,solifenacin (succinate)
16,16,13,benoxinate hydrochloride
52,52,13,dydrogesterone
69,69,13,guanethidine
77,77,13,lubiprostone
75,75,13,levetiracetam
71,71,13,indinavir (sulfate)
104,104,13,paritaprevir
84,84,13,methazolamide
58,58,13,etc-1002
2,2,14,acrivastine
39,39,14,cyclizine
51,51,14,doxylamine succinate
55,55,14,epinastine
81,81,14,meclizine hydrochloride
64,64,15,gefitinib (zd1839)
20,20,15,bosutinib
56,56,15,erlotinib (hydrochloride)
103,103,16,parecoxib
94,94,16,nitisinone
99,99,16,osilodrostat
155,155,16,zileuton
59,59,16,etoricoxib
97,97,16,orlistat
107,107,17,phenylephrine (hydrochloride)
106,106,17,phentolamine hydrochloride
108,108,17,phenylephrine hydrochloride
8,8,18,allopurinol riboside
7,7,18,allopurinol
12,12,18,anagrelide (hydrochloride)
28,28,19,carteolol hydrochloride
102,102,19,papaverine hydrochloride
