,node-value,cluster-label,drug
69,69,0,indinavir (sulfate)
153,153,0,voriconazole
40,40,0,delavirdine (mesylate)
132,132,0,sulfamethizole
149,149,1,urea
148,148,1,umbralisib
147,147,1,trimethobenzamide hydrochloride
141,141,1,tiagabine (hydrochloride)
140,140,1,tetrahydrozoline hydrochloride
139,139,1,terbinafine hydrochloride
138,138,1,tepotinib (emd 1214063)
155,155,1,zileuton
137,137,1,telotristat etiprate
145,145,1,treprostinil
135,135,1,tasimelteon
150,150,1,uridine
127,127,1,selexipag
152,152,1,venetoclax
130,130,1,stiripentol
146,146,1,triclabendazole
126,126,1,saxagliptin
136,136,1,telotristat
122,122,2,ropinirole (hydrochloride)
20,20,2,bromocriptine (mesylate)
23,23,2,cabergoline
102,102,2,pergolide (mesylate)
144,144,3,tolterodine (tartrate)
33,33,3,clidinium bromide
18,18,3,bethanechol chloride
106,106,3,pilocarpine nitrate
38,38,3,darifenacin (hydrobromide)
112,112,3,propantheline bromide
129,129,3,solifenacin (succinate)
119,119,4,riluzole
6,6,4,alfuzosin hydrochloride
124,124,4,rufinamide
86,86,5,mianserin hydrochloride
128,128,5,silodosin
104,104,5,phenylephrine (hydrochloride)
105,105,5,phenylephrine hydrochloride
134,134,5,tamsulosin
41,41,6,dextromethorphan hydrobromide
76,76,7,lubiprostone
75,75,7,levetiracetam
74,74,7,lemborexant
73,73,7,istradefylline
70,70,7,inosine
79,79,7,mebeverine hydrochloride
67,67,7,hexylresorcinol
77,77,7,lumacaftor
81,81,7,meclizine hydrochloride
96,96,7,ondansetron
83,83,7,metaproterenol
85,85,7,methocarbamol
87,87,7,miconazole nitrate
90,90,7,naloxegol (oxalate)
93,93,7,neostigmine bromide
94,94,7,nifurtimox
95,95,7,nizatidine
97,97,7,orlistat
99,99,7,palonosetron (hydrochloride)
100,100,7,papaverine hydrochloride
101,101,7,parecoxib
131,131,7,sulfadiazine
82,82,7,mepenzolate bromide
66,66,7,guanethidine
78,78,7,mebendazole
64,64,7,guaiacol
65,65,7,guaifenesin
62,62,7,gluconolactone
42,42,7,diazoxide
60,60,7,gemfibrozil
58,58,7,galanthamine
55,55,7,eugenol
54,54,7,etoricoxib
30,30,8,cimetidine
29,29,8,chlorzoxazone
27,27,8,carteolol hydrochloride
26,26,8,carglumic acid
25,25,8,carbimazole
24,24,8,capsaicin
22,22,8,butenafine (hydrochloride)
14,14,8,benoxinate hydrochloride
16,16,8,benzonatate
34,34,8,clofibrate
13,13,8,belumosudil
11,11,8,anagrelide (hydrochloride)
10,10,8,amisulpride
9,9,8,alogliptin (benzoate)
8,8,8,almotriptan
7,7,8,allopurinol
3,3,8,acyclovir
21,21,8,buspirone hydrochloride
35,35,8,cycloserine (d)
31,31,8,cinacalcet
37,37,8,dapoxetine (hydrochloride)
59,59,8,gefitinib (zd1839)
57,57,8,flunisolide
53,53,8,ethambutol hydrochloride
36,36,8,cysteamine hydrochloride
51,51,8,erlotinib (hydrochloride)
49,49,8,enoxacin
47,47,8,dydrogesterone
52,52,8,esmolol (hydrochloride)
39,39,8,deflazacort
45,45,8,donepezil hydrochloride
44,44,8,domperidone
61,61,9,glipizide
117,117,9,repaglinide
143,143,9,tolbutamide
63,63,9,glyburide
28,28,9,chlorpropamide
142,142,9,tolazamide
32,32,10,clemastine (fumarate)
2,2,10,acrivastine
68,68,10,hydroxyzine pamoate
5,5,10,alendronate sodium
50,50,10,epinastine
17,17,10,betahistine hydrochloride
46,46,10,doxylamine succinate
12,12,10,antazoline
56,56,10,fexofenadine hydrochloride
43,43,10,dimenhydrinate
15,15,10,benzoic acid
72,72,11,isosorbide mononitrate
71,71,11,isosorbide dinitrate
4,4,12,agomelatine
19,19,13,bosutinib
133,133,14,sumatriptan
156,156,14,zolmitriptan
121,121,14,rizatriptan benzoate
48,48,14,eletriptan (hydrobromide)
92,92,14,naratriptan (hydrochloride)
98,98,15,oxymetazoline hydrochloride
123,123,16,rucaparib (ag-014699 or pf-01367338) phosphate
88,88,16,moclobemide
125,125,16,safinamide
107,107,16,pitolisant (hydrochloride)
108,108,16,praziquantel
109,109,16,pretomanid
0,0,16,(s)-rasagiline
111,111,16,probucol
113,113,16,prucalopride (succinate)
114,114,16,pyrazinamide
115,115,16,pyrimethamine
116,116,16,ranolazine
118,118,16,rilpivirine
120,120,16,rimegepant
110,110,16,probenecid
84,84,17,methazolamide
1,1,17,acetazolamide
80,80,18,mecamylamine hydrochloride
151,151,18,varenicline
91,91,19,naphazoline hydrochloride
89,89,19,moxonidine
154,154,19,xylometazoline hydrochloride
103,103,19,phentolamine hydrochloride
