cluster-label,drug
0,glutamine (d)
0,cetylpyridinium chloride
1,apixaban
1,clopidogrel sulfate
1,eicosapentaenoic acid
1,clopidogrel
2,allantoin
2,flunisolide
2,(+)-camphor
3,rizatriptan benzoate
3,rimegepant
3,zolmitriptan
3,eletriptan (hydrobromide)
3,sumatriptan
3,naratriptan (hydrochloride)
3,almotriptan
4,diroximel fumarate
4,gluconolactone
4,fluorescein
4,diazoxide
4,carglumic acid
4,fampridine
4,diphenhydramine hydrochloride
4,etc-1002
4,glucosamine hydrochloride
4,dobutamine (hydrochloride)
4,disulfiram
4,febuxostat
4,cysteamine hydrochloride
4,l-ascorbic acid
4,inosine
4,voxelotor
4,varenicline
4,tiopronin
4,tiagabine (hydrochloride)
4,thiamine
4,tezacaftor
4,solifenacin (succinate)
4,silibinin
4,riluzole
4,retinol
4,praziquantel
4,pitolisant (hydrochloride)
4,pilocarpine nitrate
4,orlistat
4,nitisinone
4,niacinamide
4,lumacaftor
4,levocarnitine propionate (hydrochloride)
4,carbimazole
4,hesperidin
4,capsaicin
4,α-vitamin e
4,benoxinate hydrochloride
5,trimethoprim
5,enoxacin
5,piperacillin (sodium)
5,amoxicillin (sodium)
5,amoxicillin
5,nitrofurantoin
5,ciprofloxacin
5,clarithromycin
5,levofloxacin
5,sulfacetamide
5,clindamycin (hydrochloride)
5,clindamycin hydrochloride
5,sulfadiazine
5,gramicidin (gramicidin a shown)
5,sulfamethizole
5,aztreonam
5,azithromycin
5,sulfamethoxazole
5,tazobactam
5,chlorhexidine dihydrochloride
5,cefuroxime axetil
5,tedizolid
5,cefepime (dihydrochloride monohydrate)
5,moxifloxacin hydrochloride
5,methenamine
5,cefditoren (pivoxil)
5,cefaclor
5,fusidic acid
5,nalidixic acid
5,cefuroxime (sodium)
6,propantheline bromide
6,papaverine hydrochloride
6,dicyclomine hydrochloride
6,mebeverine hydrochloride
7,acalabrutinib
7,rucaparib (ag-014699 or pf-01367338) phosphate
7,tepotinib (emd 1214063)
7,tazemetostat
7,decitabine
7,ethynyl estradiol
7,tamoxifen (citrate)
7,duvelisib (ipi-145_ ink1197)
7,bosutinib
7,erlotinib (hydrochloride)
7,gefitinib (zd1839)
7,genistein
7,umbralisib
7,ruxolitinib (incb018424)
7,venetoclax
