cluster-label,drug
0,ezetimibe
0,zileuton
0,telotristat
0,telotristat etiprate
0,tenofovir disoproxil
0,tepotinib (emd 1214063)
0,safinamide
0,decitabine
0,l-ascorbic acid
0,lemborexant
0,dapsone
0,terbinafine hydrochloride
0,cysteamine hydrochloride
0,levamisole (hydrochloride)
0,levetiracetam
0,cycloserine (d)
0,levocarnitine propionate (hydrochloride)
0,rucaparib (ag-014699 or pf-01367338) phosphate
0,lubiprostone
0,tetrahydrozoline hydrochloride
0,thiamine
0,lumacaftor
0,clidinium bromide
0,mebendazole
0,mebeverine hydrochloride
0,tiagabine (hydrochloride)
0,fostamatinib (r788)
0,rivaroxaban
0,inosine
0,tazemetostat
0,disulfiram
0,selexipag
0,fluoxetine hydrochloride
0,fluorescein
0,galanthamine
0,gluconolactone
0,fenofibric acid
0,fenofibrate
0,felodipine
0,febuxostat
0,glucosamine hydrochloride
0,pretomanid
0,eugenol
0,etravirine
0,etoricoxib
0,chlorzoxazone
0,ethambutol hydrochloride
0,guaifenesin
0,eplerenone
0,guanethidine
0,sofosbuvir
0,enalaprilat (dihydrate)
0,silibinin
0,edoxaban
0,dydrogesterone
0,hesperidin
0,hexylresorcinol
0,tadalafil
0,donepezil hydrochloride
0,sertraline (hydrochloride)
0,guaiacol
0,meclizine hydrochloride
0,cinacalcet
0,metformin hydrochloride
0,trimethoprim
0,apixaban
0,mepenzolate bromide
0,anagrelide (hydrochloride)
0,ondansetron
0,pyrimethamine
0,amodiaquine (dihydrochloride dihydrate)
0,umbralisib
0,palonosetron (hydrochloride)
0,aminocaproic acid hydrochloride
0,uridine
0,vecuronium (bromide)
0,aprepitant
0,venetoclax
0,allopurinol
0,pyrazinamide
0,prucalopride (succinate)
0,papaverine hydrochloride
0,parecoxib
0,acyclovir
0,pioglitazone hydrochloride
0,zafirlukast
0,pirfenidone
0,acalabrutinib
0,praziquantel
0,(s)-rasagiline
0,almotriptan
0,triclabendazole
0,stiripentol
0,nicorandil
0,butenafine (hydrochloride)
0,reserpine
0,bupivacaine hydrochloride
0,miconazole nitrate
0,capsaicin
0,carbimazole
0,carglumic acid
0,nifurtimox
0,moclobemide
0,tirofiban (hydrochloride monohydrate)
0,montelukast (sodium)
0,metronidazole
0,naloxegol (oxalate)
0,benzonatate
0,metolazone
0,methocarbamol
0,benoxinate hydrochloride
0,bendroflumethiazide
0,belumosudil
0,rimegepant
0,chloroquine phosphate
0,azithromycin
0,neostigmine bromide
0,nicardipine (hydrochloride)
1,oxymetazoline hydrochloride
1,moxonidine
1,xylometazoline hydrochloride
1,naphazoline hydrochloride
1,phentolamine hydrochloride
2,estradiol
2,estradiol cypionate
2,estradiol benzoate
2,estradiol (cypionate)
2,estradiol valerianate
3,amlodipine besylate
3,isradipine
3,nisoldipine
4,naproxen
4,ibuprofen piconol
4,(s)-(+)-ibuprofen
4,celecoxib
4,acetaminophen
5,voriconazole
5,indinavir (sulfate)
5,clarithromycin
5,sulfamethizole
5,darunavir
5,delavirdine (mesylate)
6,chlorothiazide
6,hydrochlorothiazide
6,chlorthalidone
7,cimetidine
7,nizatidine
7,famotidine
7,ranitidine (hydrochloride)
8,chlorpropamide
8,repaglinide
8,glipizide
8,tolazamide
8,tolbutamide
9,bromocriptine (mesylate)
9,cabergoline
9,pergolide (mesylate)
9,ropinirole (hydrochloride)
10,umeclidinium (bromide)
10,glycopyrrolate
11,pitolisant (hydrochloride)
11,loratadine
11,acrivastine
11,fexofenadine hydrochloride
11,betahistine hydrochloride
11,ketotifen (fumarate)
11,epinastine
11,dimenhydrinate
11,azelastine hydrochloride
11,diphenhydramine hydrochloride
11,doxylamine succinate
11,clemastine (fumarate)
11,antazoline
11,promethazine hydrochloride
11,hydroxyzine pamoate
12,minoxidil hydrochloride
12,minoxidil 
13,carvedilol
13,dobutamine (hydrochloride)
13,atenolol
13,propranolol hydrochloride (+/-)
13,esmolol (hydrochloride)
13,pindolol
13,(s)-timolol (maleate)
14,methylprednisolone
14,betamethasone dipropionate
14,mometasone furoate
14,fluticasone (propionate)
14,prednisolone
14,hydrocortisone acetate
14,hydrocortisone 17-butyrate
14,deflazacort
14,flunisolide
15,alfuzosin hydrochloride
15,rufinamide
16,gefitinib (zd1839)
16,erlotinib (hydrochloride)
16,lidocaine hydrochloride
17,solifenacin (succinate)
17,pilocarpine nitrate
17,propantheline bromide
17,bethanechol chloride
17,darifenacin (hydrobromide)
17,tolterodine (tartrate)
18,adenosine
18,regadenoson
19,nelfinavir
19,ritonavir
20,probucol
20,oseltamivir (phosphate)
21,ropivacaine
21,rilpivirine
21,ranolazine
22,amoxicillin
22,amoxicillin (sodium)
23,cyproheptadine (hydrochloride)
23,cyproheptadine hydrochloride
24,furosemide
24,bumetanide
25,niacin
26,spironolactone
27,tasimelteon
27,agomelatine
27,ramelteon
28,gemfibrozil
28,clofibrate
29,treprostinil
29,ticagrelor
29,prasugrel
29,clopidogrel sulfate
29,clopidogrel
30,sildenafil citrate
31,sulfadiazine
31,indapamide
31,urea
32,cobicistat
32,dolutegravir
33,albuterol
33,salmeterol
33,metaproterenol
