drug,interaction
Tolterodine (tartrate),None
Palonosetron (Hydrochloride),Apomorphine
Dapoxetine (hydrochloride),NA
Solifenacin (Succinate),Itraconazole; Lefamulin
Indinavir (sulfate),Alfuzosin; amiodarone; cobicistat; cobimetinib; conivaptan; dihydroergotamine; dihydroergotamine intranasal; eliglustat; elvitegravir/cobicistat/emtricitabine/tenofovir DF; ergoloid mesylates; ergonovine; etravirine; finerenone; flibanserin; irinotecan; irinotecan liposomal; isavuconazonium sulfate; ivabradine; lomitapide; lonafarnib; lovastatin; lurasidone; methylergonovine; naloxegol; regorafenib; salmeterol; simvastatin; St John's Wort; tipranavir; venetoclax; voclosporin
Tiagabine (hydrochloride),None
Ethambutol (dihydrochloride),None
Telotristat etiprate,NA
Pergolide (mesylate),NA
Pyrantel (tartrate),None
Delavirdine (mesylate),Esomeprazole; Ritonavir; Mirtazapine
Eletriptan (hydrobromide),Almotriptan; bromocriptine; cabergoline; chloramphenicol; cobicistat; dihydroergotamine; dihydroergotamine intranasal; ergoloid mesylates; ergotamine; frovatriptan; lopinavir; methylergonovine; mifepristone; naratriptan; rizatriptan; saquinavir; sumatriptan; sumatriptan intranasal; tipranavir; zolmitriptan
Cefuroxime (sodium),None
Darifenacin (hydrobromide),Eliglustat
Alogliptin (Benzoate),None
(S)-Rasagiline,Apraclonidine; atomoxetine; brimonidine; bupropion; cyproheptadine; desvenlafaxine; deutetrabenazine; dexmethylphenidate; dextroamphetamine; dextromethorphan; ephedrine; fentanyl; fentanyl intranasal; fentanyl transdermal; fentanyl transmucosal; isocarboxazid; levomilnacipran; lisdexamfetamine; meperidine; methadone; methamphetamine; methylphenidate; milnacipran; mirtazapine; ozanimod; phenelzine; phenylephrine PO; procarbazine; pseudoephedrine; safinamide; selegiline; solriamfetol; St John's Wort; tapentadol; tetrabenazine; tramadol; tranylcypromine; vilazodone; vortioxetine
Erlotinib (Hydrochloride),Dexlansoprazole; esomeprazole; lansoprazole; omeprazole; pantoprazole; rabeprazole
Anagrelide (hydrochloride),Goserelin; histrelin; leuprolide; triptorelin
Naloxegol (oxalate),Abametapir; atazanavir; bosentan; carbamazepine; chloramphenicol; clarithromycin; cobicistat; conivaptan; dabrafenib; darunavir; dexamethasone; elvitegravir/cobicistat/emtricitabine/tenofovir DF; enzalutamide; eslicarbazepine acetate; etravirine; fosamprenavir; fosphenytoin; grapefruit; idelalisib; imatinib; indinavir; isoniazid; itraconazole; ketoconazole; lopinavir; mifepristone; mitotane; nafcillin; nefazodone; nelfinavir; nevirapine; nicardipine; oxcarbazepine; pentobarbital; phenobarbital; phenytoin; posaconazole; primidone; quinidine; ribociclib; rifabutin; rifampin; rifapentine; ritonavir; saquinavir St John's Wort ;tipranavir
Naratriptan (hydrochloride),Almotriptan; bromocriptine; cabergoline; dihydroergotamine; dihydroergotamine intranasal; eletriptan; ergoloid mesylates; ergotamine; frovatriptan; methylergonovine; rizatriptan; sumatriptan; sumatriptan intranasal; zolmitriptan
Butenafine (Hydrochloride),None
Cromolyn (sodium),NA
Ropinirole (hydrochloride),None
Prucalopride (succinate),None
Pitolisant (hydrochloride),None
Sertaconazole (nitrate),NA
Esmolol (hydrochloride),None
Sodium Picosulfate,None
Valacyclovir (hydrochloride),None
Clemastine (fumarate),None
