Name,Indication
tolterodine (tartrate),overactive bladder agent
tolterodine (tartrate),urinary antispasmodics
palonosetron (hydrochloride),antiemetic
dapoxetine (hydrochloride),antidepressant
solifenacin (succinate),attention deficit hyperactivity disorder agent
indinavir (sulfate),antihiv
tiagabine (hydrochloride),anticonvulsants
ethambutol (dihydrochloride),antibacterial (tuberculostatic)
telotristat etiprate,antidiarrheal
pergolide (mesylate),antiparkinsonian
pyrantel (tartrate),anthelmintic
delavirdine (mesylate),antihiv
eletriptan (hydrobromide),antimigraine
eletriptan (hydrobromide),vasoconstrictor
cefuroxime (sodium),antibacterial
darifenacin (hydrobromide),urinary antispasmodics
alogliptin (benzoate),antidiabetic
(s)-rasagiline,antiparkinsonian
erlotinib (hydrochloride),antineoplastic
anagrelide (hydrochloride),thrombocythemia treatment
anagrelide (hydrochloride),platelet aggregation inhibitor
naloxegol (oxalate),laxative
naratriptan (hydrochloride),antimigraine
naratriptan (hydrochloride),vasoconstrictor
butenafine (hydrochloride),antifungal
cromolyn (sodium),antiasthmatic
cromolyn (sodium),antiallergic
ropinirole (hydrochloride),antiparkinsonian
prucalopride (succinate),prokinetic
pitolisant (hydrochloride),nootropic
sertaconazole (nitrate),antifungal
esmolol (hydrochloride),antiarrhythmic
sodium picosulfate,laxative
valacyclovir (hydrochloride),antiviral
clemastine (fumarate),antiallergic
phenylephrine (hydrochloride),midriatic
phenylephrine (hydrochloride),vasoconstrictor
allopurinol riboside,antigout
bromocriptine (mesylate),antiparkinsonian
terbinafine hydrochloride,antifungal
cefuroxime axetil,antibacterial
gliclazide,antidiabetic
triclabendazole,anthelmintic
carbimazole,antithyroid
mecamylamine hydrochloride,antihypertensive
buspirone hydrochloride,anxiolytic
rimantadine hydrochloride,antiviral
glipizide,antidiabetic
xylometazoline hydrochloride,vasoconstrictor
meclizine hydrochloride,antiemetic
cycloserine (d),antibacterial (tuberculostatic)
carteolol hydrochloride,antiglaucoma
carteolol hydrochloride,antiarrhythmic
carteolol hydrochloride,antihypertensive
dicyclomine hydrochloride,antispasmodic
dimenhydrinate,antiemetic
dimenhydrinate,antivertigo
acyclovir,antiviral
tetrahydrozoline hydrochloride,vasoconstrictor
propantheline bromide,antispasmodic
ethionamide,antibacterial (tuberculostatic)
glyburide,antidiabetic
chlorzoxazone,skeletal muscle relaxant
allopurinol,antigout
phenylephrine hydrochloride,midriatic
phenylephrine hydrochloride,vasoconstrictor
ethambutol hydrochloride,antibacterial (tuberculostatic)
pyrimethamine,antimalarial
praziquantel,anthelmintic 
guaifenesin,antitussive
guaifenesin,expectorant
sulfamethizole,antibacterial
allantoin,antiinflammatory
bethanechol chloride,prokinetic
papaverine hydrochloride,antispasmodic
papaverine hydrochloride,smooth muscle relaxant
papaverine hydrochloride,vasodilator
oxymetazoline hydrochloride,vasoconstrictor
probucol,antihyperlipidemic
chlorpropamide,antidiabetic
chlorpropamide,hypoglycemic
pyrazinamide,antibacterial (tuberculostatic)
benoxinate hydrochloride,anesthetic (topical)
probenecid,antigout
probenecid,uricosuric
tolbutamide,antidiabetic
tolbutamide,hypoglycemic
naphazoline hydrochloride,hypoglycemic
naphazoline hydrochloride,vasoconstrictor
tolazamide,antidiabetic
