Name,Pathway
tolterodine (tartrate),calcium signaling pathway
palonosetron (hydrochloride),serotonergic synapse
dapoxetine (hydrochloride),serotonergic synapse
solifenacin (succinate),synaptic vesicle cycle
indinavir (sulfate),protein biosynthesis
tiagabine (hydrochloride),gabaergic synapse
telotristat etiprate,tryptophan metabolism
pergolide (mesylate),neuroactive ligand-receptor interaction
delavirdine (mesylate),rna replication/synthesis
eletriptan (hydrobromide),neuroactive ligand-receptor interaction
cefuroxime (sodium),peptidoglycan biosynthesis
darifenacin (hydrobromide),neuroactive ligand-receptor interaction
alogliptin (benzoate),protein digestion and absorption
(s)-rasagiline,seratonergic synapse
erlotinib (hydrochloride),mapk signaling pathway
anagrelide (hydrochloride),purine metabolism
naloxegol (oxalate),neuroactive ligand-receptor interaction
naratriptan (hydrochloride),neuroactive ligand-receptor interaction
butenafine (hydrochloride),steroid biosynthesis
ropinirole (hydrochloride),neuroactive ligand-receptor interaction
prucalopride (succinate),serotonergic synapse
pitolisant (hydrochloride),neuroactive ligand-receptor interaction
sertaconazole (nitrate),steroid biosynthesis
esmolol (hydrochloride),neuroactive ligand-receptor interaction
valacyclovir (hydrochloride),dna synthesis/replication
clemastine (fumarate),neuroactive ligand-receptor interaction
phenylephrine (hydrochloride),neuroactive ligand-receptor interaction
allopurinol riboside,purine metabolism
bromocriptine (mesylate),neuroactive ligand-receptor interaction
terbinafine hydrochloride,steroid biosynthesis
cefuroxime axetil,peptidoglycan biosynthesis
gliclazide,abc transporters
carbimazole,thyroid hormone synthesis
mecamylamine hydrochloride,neuroactive ligand-receptor interaction
buspirone hydrochloride,neuroactive ligand-receptor interaction
glipizide,abc transporters
xylometazoline hydrochloride,neuroactive ligand-receptor interaction
meclizine hydrochloride,neuroactive ligand-receptor interaction
cycloserine (d),peptidoglycan biosynthesis
carteolol hydrochloride,calcium signaling pathway
dicyclomine hydrochloride,calcium signaling pathway
dimenhydrinate,calcium signaling pathway
acyclovir,dna synthesis/replication
tetrahydrozoline hydrochloride,neuroactive ligand-receptor interaction
propantheline bromide,calcium signaling pathway
glyburide,abc transporters
allopurinol,purine metabolism
phenylephrine hydrochloride,calcium signaling pathway
pyrimethamine,pyrimidine metabolism
sulfamethizole,folate biosynthesis
bethanechol chloride,neuroactive ligand-receptor interaction
papaverine hydrochloride,calcium signaling pathway
oxymetazoline hydrochloride,neuroactive ligand-receptor interaction
chlorpropamide,abc transporters
benoxinate hydrochloride,dopaminergic synapse
tolbutamide,abc transporters
naphazoline hydrochloride,neuroactive ligand-receptor interaction
tolazamide,abc transporters
nalidixic acid,dna synthesis/replication
clofibrate,ppar signaling pathway
neostigmine bromide,glycerophospholipid metabolism
acetazolamide,proximal tubule bicarbonate reclamation
sulfadiazine,folate biosynthesis
phentolamine hydrochloride,neuroactive ligand-receptor interaction
doxylamine succinate,neuroactive ligand-receptor interaction
mepenzolate bromide,calcium signaling pathway
gefitinib (zd1839),mapk signaling pathway
rucaparib (ag-014699 or pf-01367338) phosphate,apoptosis
etc-1002,citrate cycle (tca cycle)
rimegepant,neuroactive ligand-receptor interaction
moxonidine,cgmp-pkg signaling pathway
lubiprostone,mineral absorption
capmatinib,ras signaling pathway
cinnarizine,calcium signaling pathway
tedizolid,ribosome- protein biosynthesis
treprostinil,neuroactive ligand-receptor interaction
amisulpride,neuroactive ligand-receptor interaction
agomelatine,neuroactive ligand-receptor interaction
nitisinone,ubiquinone and other terpenoid-quinone biosynthesis
etoricoxib,arachidonic acid metabolism
moclobemide,serotonergic synapse
safinamide,serotonergic synapse
tasimelteon,neuroactive ligand-receptor interaction
istradefylline,neuroactive ligand-receptor interaction
revefenacin,neuroactive ligand-receptor interaction
tezacaftor,abc transporters
lemborexant,neuroactive ligand-receptor interaction
riluzole,neuroactive ligand-receptor interaction
tamsulosin,cgmp-pkg signaling pathway
relugolix,neuroactive ligand-receptor interaction
paritaprevir,protein biosynthesis
venetoclax,apoptosis
osilodrostat,steroid hormone biosynthesis
epinastine,neuroactive ligand-receptor interaction
varenicline,neuroactive ligand-receptor interaction
domperidone,neuroactive ligand-receptor interaction
pilocarpine nitrate,neuroactive ligand-receptor interaction
miconazole nitrate,steroid biosynthesis
mianserin hydrochloride,neuroactive ligand-receptor interaction
betahistine hydrochloride,calcium signaling pathway
